school_name,department_name,program_code,program_name,research_direction,exam_year,sequence_no,subject_role,subject_code_text,subject_name_text,subject_code,notes
合肥工业大学,计算机与信息学院,081200,计算机科学与技术,,2025,1,politics,101,思想政治理论,101,依据 2026 年入学招生专业目录。
合肥工业大学,计算机与信息学院,081200,计算机科学与技术,,2025,2,english,201,英语（一）,201,依据 2026 年入学招生专业目录。
合肥工业大学,计算机与信息学院,081200,计算机科学与技术,,2025,3,math,301,数学（一）,301,依据 2026 年入学招生专业目录。
合肥工业大学,计算机与信息学院,081200,计算机科学与技术,,2025,4,major_1,408,计算机学科专业基础,408,全国统考 408。
合肥工业大学,计算机与信息学院,085404,计算机技术,,2025,1,politics,101,思想政治理论,101,依据 2026 年入学招生专业目录。
合肥工业大学,计算机与信息学院,085404,计算机技术,,2025,2,english,204,英语（二）,204,依据 2026 年入学招生专业目录。
合肥工业大学,计算机与信息学院,085404,计算机技术,,2025,3,math,302,数学（二）,302,依据 2026 年入学招生专业目录。
合肥工业大学,计算机与信息学院,085404,计算机技术,,2025,4,major_1,408,计算机学科专业基础,408,全国统考 408。
合肥工业大学,计算机与信息学院,085405,软件工程,,2025,1,politics,101,思想政治理论,101,依据 2026 年入学招生专业目录。
合肥工业大学,计算机与信息学院,085405,软件工程,,2025,2,english,204,英语（二）,204,依据 2026 年入学招生专业目录。
合肥工业大学,计算机与信息学院,085405,软件工程,,2025,3,math,302,数学（二）,302,依据 2026 年入学招生专业目录。
合肥工业大学,计算机与信息学院,085405,软件工程,,2025,4,major_1,408,计算机学科专业基础,408,全国统考 408。
合肥工业大学,计算机与信息学院,085410,人工智能,,2025,1,politics,101,思想政治理论,101,依据 2026 年入学招生专业目录。
合肥工业大学,计算机与信息学院,085410,人工智能,,2025,2,english,204,英语（二）,204,依据 2026 年入学招生专业目录。
合肥工业大学,计算机与信息学院,085410,人工智能,,2025,3,math,302,数学（二）,302,依据 2026 年入学招生专业目录。
合肥工业大学,计算机与信息学院,085410,人工智能,,2025,4,major_1,408,计算机学科专业基础,408,全国统考 408。
