school_name,department_name,program_code,program_name,research_direction,exam_year,sequence_no,subject_role,subject_code_text,subject_name_text,subject_code,notes
湖南大学,信息科学与工程学院,081200,计算机科学与技术,,2024,1,politics,101,思想政治理论,101,依据 2024 学术学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,081200,计算机科学与技术,,2024,2,english,201,英语（一）,201,依据 2024 学术学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,081200,计算机科学与技术,,2024,3,math,301,数学（一）,301,依据 2024 学术学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,081200,计算机科学与技术,,2024,4,major_1,408,计算机学科专业基础,408,全国统考 408；依据 2024 招生简章与招生目录。
湖南大学,信息科学与工程学院,085404,计算机技术,,2024,1,politics,101,思想政治理论,101,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085404,计算机技术,,2024,2,english,204,英语（二）,204,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085404,计算机技术,,2024,3,math,302,数学（二）,302,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085404,计算机技术,,2024,4,major_1,408,计算机学科专业基础,408,全国统考 408；依据 2024 招生简章。
湖南大学,信息科学与工程学院,085405,软件工程,,2024,1,politics,101,思想政治理论,101,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085405,软件工程,,2024,2,english,204,英语（二）,204,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085405,软件工程,,2024,3,math,302,数学（二）,302,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085405,软件工程,,2024,4,major_1,408,计算机学科专业基础,408,全国统考 408。
湖南大学,信息科学与工程学院,085410,人工智能,,2024,1,politics,101,思想政治理论,101,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085410,人工智能,,2024,2,english,204,英语（二）,204,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085410,人工智能,,2024,3,math,302,数学（二）,302,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085410,人工智能,,2024,4,major_1,408,计算机学科专业基础,408,全国统考 408。
湖南大学,信息科学与工程学院,085411,大数据技术与工程,,2024,1,politics,101,思想政治理论,101,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085411,大数据技术与工程,,2024,2,english,204,英语（二）,204,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085411,大数据技术与工程,,2024,3,math,302,数学（二）,302,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085411,大数据技术与工程,,2024,4,major_1,408,计算机学科专业基础,408,全国统考 408。
湖南大学,信息科学与工程学院,085412,网络与信息安全,,2024,1,politics,101,思想政治理论,101,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085412,网络与信息安全,,2024,2,english,204,英语（二）,204,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085412,网络与信息安全,,2024,3,math,302,数学（二）,302,依据 2024 专业学位招生专业目录统考科目。
湖南大学,信息科学与工程学院,085412,网络与信息安全,,2024,4,major_1,408,计算机学科专业基础,408,全国统考 408。
