name,short_name,code,province,city,school_type,school_level,has_graduate_school,official_website,graduate_website,description,sort_order,status
北京大学,北京大学,4111010001,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,1,active
中国人民大学,中国人民大学,4111010002,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,2,active
清华大学,清华大学,4111010003,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,3,active
北京交通大学,北京交通大学,4111010004,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,4,active
北京工业大学,北京工业大学,4111010005,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=北京市；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,5,active
北京航空航天大学,北京航空航天大学,4111010006,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=工业和信息化部；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,6,active
北京理工大学,北京理工大学,4111010007,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=工业和信息化部；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,7,active
北京科技大学,北京科技大学,4111010008,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,8,active
北方工业大学,北方工业大学,4111010009,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=北京市；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,9,active
北京化工大学,北京化工大学,4111010010,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,10,active
北京工商大学,北京工商大学,4111010011,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=北京市；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,11,active
北京服装学院,北京服装学院,4111010012,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=北京市；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,12,active
北京邮电大学,北京邮电大学,4111010013,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,13,active
北京印刷学院,北京印刷学院,4111010015,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=北京市；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,14,active
北京建筑大学,北京建筑大学,4111010016,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=北京市；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,15,active
北京石油化工学院,北京石油化工学院,4111010017,北京市,北京市,未分类,本科,false,,,教育部全国普通高等学校名单记录：主管部门=北京市；办学层次=本科。官网与研究生院链接待逐校官方核验后补充。,16,active
