name,short_name,code,province,city,school_type,school_level,has_graduate_school,official_website,graduate_website,description,sort_order,status
北京大学,北大,4111010001,北京市,北京市,综合类,本科,true,https://www.pku.edu.cn,https://admission.pku.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生官网，均来自学校官方站点人工核验。,1,active
清华大学,清华,4111010003,北京市,北京市,综合类,本科,true,https://www.tsinghua.edu.cn,https://yz.tsinghua.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生官网，均来自学校官方站点人工核验。,3,active
北京师范大学,北师大,4111010027,北京市,北京市,师范类,本科,true,https://www.bnu.edu.cn,https://yz.bnu.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生官网，均来自学校官方站点人工核验。,24,active
北京航空航天大学,北航,4111010006,北京市,北京市,理工类,本科,true,https://www.buaa.edu.cn,https://yzb.buaa.edu.cn,教育部全国普通高等学校名单记录：主管部门=工业和信息化部；办学层次=本科。本批次补充官网与研究生招生官网，均来自学校官方站点人工核验。,6,active
北京理工大学,北理工,4111010007,北京市,北京市,理工类,本科,true,https://www.bit.edu.cn,https://grd.bit.edu.cn,教育部全国普通高等学校名单记录：主管部门=工业和信息化部；办学层次=本科。本批次补充官网与研究生院官网，均来自学校官方站点人工核验。,7,active
中国农业大学,中国农大,4111010019,北京市,北京市,农林类,本科,true,https://www.cau.edu.cn,https://yz.cau.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生官网，均来自学校官方站点人工核验。,18,active
北京邮电大学,北邮,4111010013,北京市,北京市,理工类,本科,true,https://www.bupt.edu.cn,https://yzb.bupt.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生官网，均来自学校官方站点人工核验。,13,active
南开大学,南开,4112010055,天津市,天津市,综合类,本科,true,https://www.nankai.edu.cn,https://yzb.nankai.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生官网，均来自学校官方站点人工核验。,93,active
天津大学,天大,4112010056,天津市,天津市,理工类,本科,true,https://www.tju.edu.cn,https://yzb.tju.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生官网，均来自学校官方站点人工核验。,94,active
大连理工大学,大工,4121010141,辽宁省,大连市,理工类,本科,true,https://www.dlut.edu.cn,https://gs.dlut.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生院官网，均来自学校官方站点人工核验。,417,active
吉林大学,吉大,4122010183,吉林省,长春市,综合类,本科,true,https://www.jlu.edu.cn,https://gra.jlu.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生院官网，均来自学校官方站点人工核验。,530,active
哈尔滨工业大学,哈工大,4123010213,黑龙江省,哈尔滨市,理工类,本科,true,https://www.hit.edu.cn,https://yzb.hit.edu.cn,教育部全国普通高等学校名单记录：主管部门=工业和信息化部；办学层次=本科。本批次补充官网与研究生招生官网，均来自学校官方站点人工核验。,599,active
复旦大学,复旦,4131010246,上海市,上海市,综合类,本科,true,https://www.fudan.edu.cn,https://gsao.fudan.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生办公室官网，均来自学校官方站点人工核验。,678,active
同济大学,同济,4131010247,上海市,上海市,理工类,本科,true,https://www.tongji.edu.cn,https://yz.tongji.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生官网，均来自学校官方站点人工核验。,679,active
上海交通大学,上交,4131010248,上海市,上海市,综合类,本科,true,https://www.sjtu.edu.cn,https://yzb.sjtu.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生官网，均来自学校官方站点人工核验。,680,active
华东师范大学,华师大,4131010269,上海市,上海市,师范类,本科,true,https://www.ecnu.edu.cn,https://yjszs.ecnu.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生信息网，均来自学校官方站点人工核验。,690,active
南京大学,南大,4132010284,江苏省,南京市,综合类,本科,true,https://www.nju.edu.cn,https://yzb.nju.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生网，均来自学校官方站点人工核验。,747,active
东南大学,东大,4132010286,江苏省,南京市,综合类,本科,true,https://www.seu.edu.cn,https://yzb.seu.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生网，均来自学校官方站点人工核验。,749,active
中国科学技术大学,中科大,4134010358,安徽省,合肥市,理工类,本科,true,https://www.ustc.edu.cn,https://yz.ustc.edu.cn,教育部全国普通高等学校名单记录：主管部门=中国科学院；办学层次=本科。本批次补充官网与研究生招生在线，均来自学校官方站点人工核验。,1034,active
厦门大学,厦大,4135010384,福建省,厦门市,综合类,本科,true,https://www.xmu.edu.cn,https://zs.xmu.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生网，均来自学校官方站点人工核验。,1159,active
山东大学,山大,4137010422,山东省,济南市,综合类,本科,true,https://www.sdu.edu.cn,https://www.yz.sdu.edu.cn,教育部全国普通高等学校名单记录：主管部门=教育部；办学层次=本科。本批次补充官网与研究生招生信息网，均来自学校官方站点人工核验。,1366,active
